Prest.,Atleta,Anno,Società,Città,Data
2:40.45,CAVANNA Giovanni,59,ATL. NOVESE,Genova,08/02/2014
2:40.47,SANDRI Sandro,57,GS.TORTELLINI VOLTAN MARTELLAG,Padova,26/01/2019
2:40.54,D'ELIA Matteo,85,A.S.D. C.U.S. SALERNO,Napoli Ponticelli,24/01/2010
2:40.55,FREI Rudolf,48,SPORTCLUB MERANO,Padova,26/01/2019
2:40.56,TURCO Giuseppe,48,A.P.D. ROSOLINI,Ancona,09/03/2014
2:40.58,CISTERNINO Marco,58,ASD APULIATHLETICA,Ancona,11/03/2023
2:40.81,DI GIUSEPPE Luigi,91,A.S.D. C.U.S. SALERNO,Napoli Ponticelli,24/01/2010
2:40.81,GALMARINI Giovanni,53,ATL. GALLARATESE,Padova,26/01/2019
2:40.84,PARDI Pietro paolo,04,ATLETICA MENEGHINA,Padova,14/02/2021
2:40.87,CROCI Renzo,62,ATL. GALLARATESE,Ancona,01/03/2015
2:40.89,BIANCHI Mauro,52,U.S. QUERCIA TRENTINGRANA,Madrid,21/03/2018
2:40.92,ZINGONE Francesco,03,A. P. D.  HIPPOS CAMPI FLEGREI,Ancona,19/01/2019
2:40.94,LENTO Federico,56,O.S.O. OLD STARS OSTIA,Ancona,29/03/2016
2:40.94,MATTEUCCI Roberto,64,UNICREDIT CIRCOLO MILANO,Padova,10/02/2018
2:41.06,FREI Rudolf,48,SPORTCLUB MERANO,Ancona,24/02/2019
2:41.20,FINIELLI Giovanni,50,A.S.D. ATLETICA MASTER TRIESTE,Ancona,19/03/2021
2:41.22,MUSCIONICO Matteo,75,UNIONE SPORTIVA ALBATESE ASD,Ancona,12/03/2023
2:41.27,TURCO Giuseppe,48,A.S. DIL. ATLETICA NOTO,Ancona,25/02/2018
2:41.36,LENTO Federico,56,O.S.O. OLD STARS OSTIA,Ancona,28/02/2016
2:41.39,MASIN Massimo,60,SPAK4 PADOVA,Padova,06/03/2022
2:41.41,GEISER Konrad,47,SPORTCLUB MERANO,Ancona,29/03/2016
2:41.41,BERLESE Luca,68,ATLETICA PONZANO,Padova,26/01/2019
2:41.42,ZAMPIERI Ennio,50,ATLETICA BRUGNERA FRIULINTAGLI,Ancona,01/03/2015
2:41.46,CANTON Giuseppe,60,RUNNERS PADOVA,Padova,27/02/2021
2:41.52,FONTANESI Arnol yessidt,01,G.S.SELF ATL. MONTANARI GRUZZA,Padova,21/01/2017
2:41.54,GEISER Konrad,47,SPORTCLUB MERANO,Padova,26/01/2019
2:41.74,COGOTTI Giovanni,54,A.S. LA FRATELLANZA 1874,Ancona,28/02/2016
2:41.75,TURCO Giuseppe,48,A.S. DIL. ATLETICA NOTO,Ancona,26/02/2017
2:41.85,BERLESE Luca,68,ATLETICA PONZANO,Padova,27/01/2018
2:41.88,LIOTTO Giuseppe,93,ASD ARCA ATL.AVERSA A.AVERSANO,Napoli,08/01/2011
2:41.88,CANIGLIA Santi,48,ASD ATL.SCORDIA,Ancona,09/03/2014
2:41.89,PENAZZI Roberto,57,G.P.A. LUGHESINA,Ancona,16/01/2016
2:41.90,D'AMICO Davide,93,ATL. TRIANGOLO LARIANO,Parma,15/01/2011
2:42.01,SFERRA Antonio,73,POL. UNICREDIT,Padova,26/02/2022
2:42.07,GORETTI Renato,50,ASD TRACK & FIELD MASTER GROSS,Ancona,31/03/2016
2:42.13,CECCHIN Alekos,91,ATLETICA GALLIERA VENETA,Padova,20/01/2007
2:42.18,PUGLISI Salvatore,47,GS.TORTELLINI VOLTAN MARTELLAG,Ancona,25/02/2018
2:42.27,SANDRI Sandro,57,GS.TORTELLINI VOLTAN MARTELLAG,Ancona,25/02/2018
2:42.27,COMUZIO Andreino,56,LA PODISTICA ROBBIESE,Padova,06/03/2022
2:42.44,MACCHI Giuseppe,52,ATL. GALLARATESE,Ancona,01/03/2015
2:42.48,GUMIRATO Fabrizio,64,ATL.AUDACE NOALE,Padova,06/03/2022
2:42.55,GEISER Konrad,47,SPORTCLUB MERANO,Torun,27/03/2019
2:42.65,PANCELLI Uliviero,53,ASD LA GALLA PONTEDERA ATL.,Padova,13/02/2016
2:42.76,AMOROSO Matteo,58,A.S.D. LIBERATLETICA,Torun,27/03/2019
2:42.81,BELLINI Edoardo,97,CONFINDUSTRIA ATL. ROVIGO,Padova,07/01/2017
2:42.84,SOLDI Fabrizio,55,ASD ATLETICA PISTOIA,Ancona,24/02/2019
2:42.85,DA GIAU Luca,64,POLISPORTIVA VODO DI CADORE,Padova,13/02/2016
2:42.85,GEISER Konrad,47,SPORTCLUB MERANO,Ancona,24/02/2019
2:42.88,MATTIOLI Mario,86,ATLETICA WINNER FOLIGNO,Ancona,21/03/2021
2:42.91,CHIERUZZI Sandro,57,ASD ATHLETIC AMELIA,Ancona,11/02/2022
2:43.02,ANASTASI Gaetano,72,ATLETICA SETTIMESE,Padova,10/02/2018
2:43.04,FINIELLI Giovanni,50,A.S.D. ATLETICA MASTER TRIESTE,Ancona,11/02/2022
2:43.05,GARGANI Gianfranco,63,ASD TRACK & FIELD MASTER GROSS,Ancona,24/02/2019
2:43.11,LEONI Edoardo,06,ATL. BUZZETTI,Parma,06/02/2022
2:43.26,SPINA Nunzio,57,S.E.F. MACERATA,Ancona,11/02/2022
2:43.27,PANCELLI Uliviero,53,TOSCANA ATLETICA FUTURA,Ancona,24/02/2019
2:43.27,PANTALEO Domenico,61,A.S.D. SUEDTIROL TEAM CLUB,Ancona,11/03/2023
2:43.28,SACCARDI Alberto,69,A.S.D. TEAM KM SPORT,Padova,04/02/2023
2:43.33,LENOCI Marco,80,AMATORI ATL. ACQUAVIVA,Ancona,18/01/2020
2:43.41,STACCHIOTTI VEROLI Gabriele,69,ATL. RECANATI,Ancona,25/02/2018
2:43.42,IMPERATORE Giulio,62,POLISPORTIVA VODO DI CADORE,Padova,13/02/2016
2:43.48,NONNATO Marco,63,G.S. QUANTIN,Padova,11/02/2017
2:43.49,SILVI Christian,74,ATLETICA OSIMO,Ancona,28/01/2023
2:43.66,GROSSI Samuele,03,OLIMPUS SAN MARINO ATLETICA,Ancona,19/01/2019
2:43.77,TOSONI Antonio,58,A.S.D. ATLETICA LUPATOTINA,Padova,13/02/2016
2:43.77,TEMPERINI Aymon,02,SPORT ATL. FERMO,Ancona,06/01/2019
2:43.79,LIONETTO Francesco,99,CSI SASSO MARCONI,Ancona,01/02/2015
2:43.92,IMPERATORE Giulio,62,POLISPORTIVA VODO DI CADORE,Padova,21/01/2017
2:43.93,SPINA Nunzio,57,S.E.F. MACERATA,Ancona,24/02/2019
2:44.01,SARALE Bruno,52,A.S.D PAM MONDOVI-CHIUSA PESIO,Ancona,24/02/2019
2:43.8,D'ERRICO Antonio,64,ASD ARCA ATL.AVERSA A.AVERSANO,Napoli,12/12/2021
2:44.20,GORETTI Renato,50,ASD TRACK & FIELD MASTER GROSS,Ancona,29/03/2016
2:44.40,DI BLASI Manfred,69,G.S. C.S.I. MORBEGNO,Padova,10/02/2018
2:44.47,PIERRO Pietro,68,TEAM CAMELOT A.S.D.,Ancona,26/02/2017
2:44.55,MASSAGLI Daniel,04,A.S. ATLETICA VIRTUS LUCCA,Carrara,14/01/2023
2:44.63,MATTEUCCI Roberto,64,UNICREDIT CIRCOLO MILANO,Padova,26/01/2019
2:44.66,CANIGLIA Santi,48,A.S.D. POL.LIB.MILITELLO,Ancona,26/02/2017
2:44.70,DI PAOLO Paolo,74,CUS MOLISE,Ancona,09/03/2014
2:44.72,DI GIO' BATTISTA Giacomo,03,ATLETICA TIVOLI,Ancona,06/01/2019
2:44.74,BONETTI Alfredo,58,A.S.D. ATLETICA MASTER TRIESTE,Torun,29/03/2023
2:44.80,CANTON Giuseppe,60,RUNNERS PADOVA,Padova,26/01/2019
2:45.03,MASSACCESI Claudio,57,ATHLETIC TERNI,Ancona,28/02/2016
2:45.05,PANCELLI Uliviero,53,ASD LA GALLA PONTEDERA ATL.,Ancona,28/02/2016
2:45.10,GORETTI Renato,50,ASD TRACK & FIELD MASTER GROSS,Ancona,28/02/2016
2:45.16,RIGONI Silvano,54,A.A.A.MALO,Padova,16/02/2020
2:45.39,MASSACCESI Claudio,57,ATHLETIC TERNI,Ancona,09/03/2014
2:45.39,FIORESE Alberto,55,ASD LAVORATORI INTESA SANPAOLO,Padova,10/02/2018
2:45.40,RIGONI Silvano,54,A.A.A.MALO,Padova,10/02/2018
2:45.41,CROCI Renzo,62,ATL. GALLARATESE,Padova,10/02/2018
2:45.45,RICCOMINI Marcello,55,JUVENIA SSD A.R.L.,Ancona,28/02/2016
2:45.53,TORRACO Andrea,07,U.S. FOGGIA ATL. LEGGERA,Ancona,15/01/2023
2:45.73,ANDRENACCI Renzo,58,A.POD. VALTENNA,Ancona,11/03/2023
2:45.75,GORETTI Renato,50,ASD TRACK & FIELD MASTER GROSS,Ancona,25/02/2018
2:45.79,LAMBERTI Luigi,56,A.S.D.  ATL. VIS NOVA,Ancona,25/02/2018
2:45.81,FINIELLI Giovanni,50,GS.TORTELLINI VOLTAN MARTELLAG,Daegu,21/03/2017
2:45.96,TENORIO SALGUERO Washington alexis,01,TIRRENO ATLETICA CIVITAVECCHIA,Ancona,29/01/2017
2:46.00,STACCHIOTTI VEROLI Gabriele,69,ATL. RECANATI,Ancona,23/01/2016
2:46.04,IAGROSSI Antonio,00,LIBERTAS AMATORI ATLETICA LEGG,Napoli,17/01/2016
2:46.28,MALAFOGLIA Stefano,62,ASD LAZIO OLIMPIA RUNNERS TEAM,Ancona,11/03/2023
2:46.31,CROCI Renzo,62,ATL. GALLARATESE,Ancona,26/02/2017
2:46.35,BUFANO Pasquale,92,A.S.D. POLISPORTIVA ASTRO 2000,Napoli Ponticelli,24/01/2010
2:46.38,GORETTI Renato,50,ASD TRACK & FIELD MASTER GROSS,Daegu,22/03/2017
