Prest.,Atleta,Anno,Società,Città,Data
46.79,PIAZZA Pierdomenico,59,ANA ATL.FELTRE,Treviso,06/05/2007
46.73,DE MARTINI Alessandro,97,ANA ATL.FELTRE,Vicenza,07/05/2016
46.05,TREVISAN David,94,ANA ATL.FELTRE,Rovereto,29/06/2012
39.90,TOIGO Robin,92,ANA ATL.FELTRE,Conegliano,20/06/2014
36.60,DALLA CORTE Matteo,01,ANA ATL.FELTRE,Lana,04/09/2022
33.03,CORSO Lorenzo,99,ANA ATL.FELTRE,Bussolengo,26/05/2018
31.74,DOGLIONI Giorgio,96,ANA ATL.FELTRE,Trento,12/10/2019
31.10,DA COL Fabio,93,ANA ATL.FELTRE,Marcon,14/05/2011
25.30,BARP Andrea,71,ANA ATL.FELTRE,Marcon,09/05/2015
